2020-04-19 15:04:734 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:162 INFO  HomePage :36 - Displaying Login Link : [[ChromeDriver: chrome on WINDOWS (5e93b49688c2ed464a19fcaac909d2d7)] -> link text: Log In]
2020-04-19 15:04:259 INFO  HomePage :42 - Displaying Login Link : [[ChromeDriver: chrome on WINDOWS (5e93b49688c2ed464a19fcaac909d2d7)] -> link text: Log In]
2020-04-19 15:04:322 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:15 INFO  HomePage :50 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (789157f0f814dd6ed941a5f1fefeded8)] -> link text: Register]
2020-04-19 15:04:73 INFO  HomePage :56 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (789157f0f814dd6ed941a5f1fefeded8)] -> link text: Register]
2020-04-19 15:04:220 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:185 INFO  HomePage :36 - Displaying Login Link : [[ChromeDriver: chrome on WINDOWS (e0fb5e40b6a1b51590a3f396ed01bc32)] -> link text: Log In]
2020-04-19 15:04:240 INFO  HomePage :42 - Displaying Login Link : [[ChromeDriver: chrome on WINDOWS (e0fb5e40b6a1b51590a3f396ed01bc32)] -> link text: Log In]
2020-04-19 15:04:560 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:762 INFO  HomePage :50 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (a1377e8787635063db6afb9f2a3d1e98)] -> link text: Register]
2020-04-19 15:04:833 INFO  HomePage :56 - Displaying Register link : [[ChromeDriver: chrome on WINDOWS (a1377e8787635063db6afb9f2a3d1e98)] -> link text: Register]
2020-04-19 15:04:720 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:666 INFO  HomePage :64 - Clicking on Login link : Proxy element for: DefaultElementLocator 'By.linkText: Log In'
2020-04-19 15:04:732 INFO  LoginPage :31 - Displaying Login Page Text : [[ChromeDriver: chrome on WINDOWS (85c3bccf0945e0b29da2ac1655d963af)] -> xpath: //strong[contains(text(),'Quick, safe and convenient')]]
2020-04-19 15:04:759 INFO  LoginPage :36 - Displaying Login Page Text : [[ChromeDriver: chrome on WINDOWS (85c3bccf0945e0b29da2ac1655d963af)] -> xpath: //strong[contains(text(),'Quick, safe and convenient')]]
2020-04-19 15:04:960 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 15:04:877 INFO  HomePage :64 - Clicking on Login link : Proxy element for: DefaultElementLocator 'By.linkText: Log In'
2020-04-19 15:04:828 INFO  LoginPage :43 - Clicking on Register Link : Proxy element for: DefaultElementLocator 'By.linkText: Register now'
